trial,t_us,phase,x_cm,y_cm,ax,ay,az
1,2346,0,22.200,14.500,1708,16236,-1924
1,5189,0,22.200,14.500,1496,16312,-2224
1,7189,0,22.200,14.500,1608,16200,-1872
1,10190,0,22.200,14.500,1484,16096,-1992
1,12189,0,22.200,14.500,1540,16200,-1932
1,15190,0,22.200,14.500,1524,16136,-1892
1,17189,0,22.200,14.500,1480,16072,-1880
1,20190,0,22.200,14.500,1440,16136,-1872
1,22189,0,22.200,14.500,1628,16076,-1964
1,25190,0,22.200,14.500,1376,16136,-1852
1,27189,0,22.200,14.500,1468,16152,-1820
1,30190,0,22.200,14.500,1376,16140,-1892
1,32189,0,22.200,14.500,1496,16228,-1860
1,35189,0,22.200,14.500,1496,16164,-1864
1,37189,0,22.200,14.500,1600,16180,-1880
1,40190,0,22.200,14.500,1552,16236,-1904
1,42189,0,22.200,14.500,1600,16208,-1760
1,45190,0,22.200,14.500,1612,16168,-2056
1,47189,0,22.200,14.500,1616,16244,-1952
1,50190,0,22.200,14.500,1604,16232,-1952
1,52189,0,22.200,14.500,1648,16232,-1784
1,55190,0,22.200,14.500,1600,16312,-1856
1,57189,0,22.200,14.500,1544,16264,-2012
1,60190,0,22.200,14.500,1732,16328,-1828
1,62189,0,22.200,14.500,1732,16284,-2164
1,65189,0,22.200,14.500,1636,16296,-2024
1,67190,0,22.200,14.500,1704,16304,-2044
1,70189,0,22.200,14.500,1560,16252,-2012
1,72189,0,22.200,14.500,1560,16228,-1952
1,75189,0,22.200,14.500,1600,16268,-2208
1,77189,0,22.200,14.500,1672,16228,-1848
1,80190,0,22.200,14.500,1612,16148,-2048
1,82189,0,22.200,14.500,1624,16280,-1928
1,85189,0,22.200,14.500,1568,16196,-1980
1,87190,0,22.200,14.500,1504,16216,-1804
1,90189,0,22.200,14.500,1576,16188,-1900
1,92190,0,22.200,14.500,1464,16220,-2040
1,95190,0,22.200,14.500,1440,16196,-1792
1,97189,0,22.200,14.500,1588,16156,-1900
1,100189,0,22.200,14.500,1508,16212,-1784
1,102190,0,22.200,14.500,1504,16132,-1976
1,105189,0,22.200,14.500,1504,16052,-1972
1,107189,0,22.200,14.500,1492,16148,-1936
1,110190,0,22.200,14.500,1552,16136,-2056
1,112190,0,22.200,14.500,1500,16080,-1900
1,115189,0,22.200,14.500,1444,16060,-1840
1,117189,0,22.200,14.500,1532,16104,-2048
1,120190,0,22.200,14.500,1540,16336,-2100
1,122189,0,22.200,14.500,1660,16272,-1932
1,125190,0,22.200,14.500,1608,16264,-1972
1,127190,0,22.200,14.500,1656,16240,-1940
1,130190,0,22.200,14.500,1616,16236,-2036
1,132190,0,22.200,14.500,1612,16372,-1984
1,135189,0,22.200,14.500,1572,16248,-2052
1,137190,0,22.200,14.500,1632,16248,-2060
1,140189,0,22.200,14.500,1564,16296,-1912
1,142190,0,22.200,14.500,1608,16256,-2016
1,145189,0,22.200,14.500,1632,16264,-2052
1,147190,0,22.200,14.500,1624,16304,-1944
1,150189,0,22.200,14.500,1672,16176,-2092
1,152190,0,22.200,14.500,1548,16332,-1976
1,155190,0,22.200,14.500,1640,16312,-2052
1,157190,0,22.200,14.500,1588,16268,-2012
1,160189,0,22.200,14.500,1700,16248,-2000
1,162189,0,22.200,14.500,1612,16148,-2076
1,165190,0,22.200,14.500,1536,16264,-1908
1,167189,0,22.200,14.500,1460,16208,-1908
1,170189,0,22.200,14.500,1580,16176,-2028
1,172190,0,22.200,14.500,1544,16268,-1780
1,175189,0,22.200,14.500,1484,16164,-1908
1,177190,0,22.200,14.500,1552,16160,-1836
1,180189,0,22.200,14.500,1488,16200,-1872
1,182190,0,22.200,14.500,1568,16164,-2000
1,185189,0,22.200,14.500,1536,16080,-1872
1,187189,0,22.200,14.500,1476,16180,-1892
1,190190,0,22.200,14.500,1540,16204,-2036
1,192189,0,22.200,14.500,1488,16208,-1848
1,195190,0,22.200,14.500,1488,16128,-1892
1,197189,0,22.200,14.500,1548,16132,-2056
1,200190,0,22.200,14.500,1532,16116,-2028
1,202190,0,22.200,14.500,1636,16188,-1960
1,205190,0,22.200,14.500,1584,16220,-2068
1,207190,0,22.200,14.500,1528,16320,-2008
1,210190,0,22.200,14.500,1584,16292,-1868
1,212190,0,22.200,14.500,1616,16272,-2020
1,215189,0,22.200,14.500,1700,16276,-2012
1,217190,0,22.200,14.500,1692,16212,-1956
1,220190,0,22.200,14.500,1696,16220,-2120
1,222190,0,22.200,14.500,1660,16268,-1868
1,225189,0,22.200,14.500,1756,16240,-2060
1,227190,0,22.200,14.500,1648,16176,-1984
1,230189,0,22.200,14.500,1672,16248,-1968
1,232189,0,22.200,14.500,1688,16188,-1884
1,235190,0,22.200,14.500,1564,16232,-1968
1,237190,0,22.200,14.500,1604,16156,-1988
1,240190,0,22.200,14.500,1468,16188,-1936
1,242190,0,22.200,14.500,1580,16260,-2108
1,245189,0,22.200,14.500,1512,16264,-1996
1,247190,0,22.200,14.500,1636,16120,-2064
1,250190,0,22.200,14.500,1596,16244,-1928
1,252189,0,22.200,14.500,1528,16200,-1896
1,255190,0,22.200,14.500,1656,16164,-1952
1,257189,0,22.200,14.500,1440,16164,-1840
1,260190,0,22.200,14.500,1524,16108,-1988
1,262189,0,22.200,14.500,1420,16104,-1960
1,265190,0,22.200,14.500,1500,16128,-1764
1,267189,0,22.200,14.500,1432,16196,-1772
1,270190,0,22.200,14.500,1548,16164,-2040
1,272189,0,22.200,14.500,1480,16128,-1836
1,275190,0,22.200,14.500,1572,16196,-1912
1,277189,0,22.200,14.500,1636,16128,-2008
1,280190,0,22.200,14.500,1512,16208,-1868
1,282189,0,22.200,14.500,1524,16192,-2036
1,285190,0,22.200,14.500,1660,16220,-2140
1,287189,0,22.200,14.500,1504,16312,-1860
1,290190,0,22.200,14.500,1560,16192,-1980
1,292189,0,22.200,14.500,1580,16228,-1940
1,295190,0,22.200,14.500,1616,16292,-1820
1,297189,0,22.200,14.500,1496,16336,-2236
1,300190,0,22.200,14.500,1744,16264,-1956
1,302190,0,22.200,14.500,1584,16132,-2144
1,305190,0,22.200,14.500,1692,16220,-2016
1,307189,0,22.200,14.500,1640,16164,-1984
1,310190,0,22.200,14.500,1588,16176,-2044
1,312189,0,22.200,14.500,1564,16348,-1952
1,315190,0,22.200,14.500,1524,16280,-1872
1,317189,0,22.200,14.500,1664,16152,-1944
1,320190,0,22.200,14.500,1516,16244,-1872
1,322189,0,22.200,14.500,1548,16152,-1900
1,325189,0,22.200,14.500,1552,16228,-1880
1,327190,0,22.200,14.500,1552,16184,-1880
1,330189,0,22.200,14.500,1544,16312,-1892
