trial,t_us,phase,x_cm,y_cm,ax,ay,az
1,1349,0,7.200,9.500,1636,16276,-1928
1,4190,0,7.200,9.500,1548,16256,-2124
1,6190,0,7.200,9.500,1588,16252,-1988
1,9190,0,7.200,9.500,1620,16128,-1944
1,11190,0,7.200,9.500,1624,16052,-2112
1,14190,0,7.200,9.500,1592,16112,-2132
1,16190,0,7.200,9.500,1720,16116,-2172
1,19190,0,7.200,9.500,1576,16180,-2036
1,21190,0,7.200,9.500,1660,16184,-2004
1,24190,0,7.200,9.500,1720,16276,-2160
1,26190,0,7.200,9.500,1616,16260,-1960
1,29190,0,7.200,9.500,1692,16280,-1960
1,31190,0,7.200,9.500,1588,16244,-1956
1,34190,0,7.200,9.500,1644,16244,-1964
1,36190,0,7.200,9.500,1660,16116,-2080
1,39190,0,7.200,9.500,1600,16180,-2044
1,41190,0,7.200,9.500,1712,16180,-2212
1,44190,0,7.200,9.500,1648,16184,-2128
1,46190,0,7.200,9.500,1640,16228,-2064
1,49190,0,7.200,9.500,1616,16240,-1972
1,51190,0,7.200,9.500,1548,16216,-2048
1,54190,0,7.200,9.500,1624,16288,-1916
1,56190,0,7.200,9.500,1668,16348,-1960
1,59190,0,7.200,9.500,1660,16308,-1952
1,61190,0,7.200,9.500,1688,16236,-1968
1,64190,0,7.200,9.500,1688,16188,-1880
1,66190,0,7.200,9.500,1616,16196,-1996
1,69190,0,7.200,9.500,1720,16108,-1964
1,71190,0,7.200,9.500,1728,16164,-1892
1,74190,0,7.200,9.500,1600,16116,-2104
1,76190,0,7.200,9.500,1652,16128,-2072
1,79190,0,7.200,9.500,1716,16220,-1912
1,81190,0,7.200,9.500,1760,16152,-1956
1,84190,0,7.200,9.500,1600,16252,-2012
1,86190,0,7.200,9.500,1624,16304,-2004
1,89190,0,7.200,9.500,1648,16384,-2048
1,91190,0,7.200,9.500,1680,16324,-1892
1,94190,0,7.200,9.500,1696,16260,-2000
1,96190,0,7.200,9.500,1692,16292,-2032
1,99190,0,7.200,9.500,1656,16172,-1984
1,101190,0,7.200,9.500,1728,16084,-2096
1,104190,0,7.200,9.500,1616,16044,-2000
1,106190,0,7.200,9.500,1620,16080,-1876
1,109190,0,7.200,9.500,1668,16096,-1996
1,111190,0,7.200,9.500,1612,16156,-2000
1,114190,0,7.200,9.500,1680,16208,-1904
1,116190,0,7.200,9.500,1648,16264,-2048
1,119190,0,7.200,9.500,1600,16292,-1996
1,121190,0,7.200,9.500,1616,16320,-1804
1,124190,0,7.200,9.500,1572,16344,-2044
1,126190,0,7.200,9.500,1700,16200,-2008
1,129190,0,7.200,9.500,1512,16116,-2136
1,131190,0,7.200,9.500,1780,16064,-2040
1,134190,0,7.200,9.500,1660,15984,-2124
1,136190,0,7.200,9.500,1680,16084,-2100
1,139190,0,7.200,9.500,1668,16200,-1904
1,141190,0,7.200,9.500,1740,16188,-1880
1,144190,0,7.200,9.500,1652,16356,-2012
