trial,t_us,phase,x_cm,y_cm,ax,ay,az
1,3349,0,22.200,4.500,1584,16168,-1792
1,5189,0,22.200,4.500,1536,16336,-1824
1,8189,0,22.200,4.500,1656,16324,-1896
1,10189,0,22.200,4.500,1460,16376,-2028
1,13189,0,22.200,4.500,1616,16264,-1964
1,15189,0,22.200,4.500,1560,16172,-1944
1,18189,0,22.200,4.500,1540,16116,-2024
1,20189,0,22.200,4.500,1644,16148,-1972
1,23189,0,22.200,4.500,1424,16204,-1808
1,25189,0,22.200,4.500,1524,16176,-1920
1,28189,0,22.200,4.500,1524,16160,-1804
1,30189,0,22.200,4.500,1528,16236,-1672
1,33189,0,22.200,4.500,1568,16200,-1780
1,35189,0,22.200,4.500,1500,16232,-1800
1,38189,0,22.200,4.500,1620,16232,-1732
1,40190,0,22.200,4.500,1584,16228,-1952
1,43189,0,22.200,4.500,1576,16280,-1780
1,45189,0,22.200,4.500,1484,16240,-2088
1,48189,0,22.200,4.500,1540,16188,-1724
1,50189,0,22.200,4.500,1324,16248,-2020
1,53189,0,22.200,4.500,1484,16200,-2020
1,55189,0,22.200,4.500,1372,16196,-2060
1,58189,0,22.200,4.500,1460,16260,-2028
1,60189,0,22.200,4.500,1524,16236,-1880
1,63189,0,22.200,4.500,1424,16252,-2120
1,65189,0,22.200,4.500,1612,16216,-1840
1,68190,0,22.200,4.500,1392,16264,-2084
1,70189,0,22.200,4.500,1588,16184,-2000
1,73189,0,22.200,4.500,1640,16280,-1672
1,75189,0,22.200,4.500,1628,16188,-1804
1,78189,0,22.200,4.500,1752,16220,-1652
1,80189,0,22.200,4.500,1536,16220,-1732
1,83189,0,22.200,4.500,1848,16288,-1780
1,85189,0,22.200,4.500,1484,16260,-1912
1,88190,0,22.200,4.500,1636,16248,-1880
1,90189,0,22.200,4.500,1340,16208,-2052
1,93189,0,22.200,4.500,1492,16208,-1900
1,95190,0,22.200,4.500,1392,16252,-2012
1,98189,0,22.200,4.500,1388,16236,-1980
1,100189,0,22.200,4.500,1316,16180,-1980
1,103189,0,22.200,4.500,1532,16252,-1928
1,105189,0,22.200,4.500,1448,16224,-2004
1,108189,0,22.200,4.500,1588,16152,-1860
1,110189,0,22.200,4.500,1732,16128,-1744
1,113189,0,22.200,4.500,1672,16216,-1940
1,115189,0,22.200,4.500,1648,16184,-1828
1,118189,0,22.200,4.500,1500,16232,-1928
1,120190,0,22.200,4.500,1472,16224,-1864
1,123189,0,22.200,4.500,1416,16196,-1872
1,125189,0,22.200,4.500,1528,16156,-1948
1,128189,0,22.200,4.500,1444,16224,-1848
1,130189,0,22.200,4.500,1580,16236,-1872
1,133189,0,22.200,4.500,1552,16212,-1804
1,135189,0,22.200,4.500,1600,16188,-1856
1,138190,0,22.200,4.500,1640,16176,-1692
1,140190,0,22.200,4.500,1540,16228,-2116
1,143189,0,22.200,4.500,1612,16276,-1844
1,145189,0,22.200,4.500,1412,16200,-1896
1,148189,0,22.200,4.500,1644,16308,-1844
1,150189,0,22.200,4.500,1472,16256,-1880
1,153189,0,22.200,4.500,1468,16196,-1876
1,155189,0,22.200,4.500,1616,16200,-1788
1,158189,0,22.200,4.500,1444,16284,-1792
1,160189,0,22.200,4.500,1436,16264,-1980
1,163189,0,22.200,4.500,1440,16116,-1892
1,165189,0,22.200,4.500,1552,16240,-1668
1,168189,0,22.200,4.500,1328,16224,-1912
1,170189,0,22.200,4.500,1664,16200,-1860
1,173190,0,22.200,4.500,1372,16176,-1944
1,175189,0,22.200,4.500,1516,16296,-1832
1,178189,0,22.200,4.500,1536,16192,-1668
1,180189,0,22.200,4.500,1540,16192,-1888
1,183189,0,22.200,4.500,1564,16244,-1812
1,185189,0,22.200,4.500,1416,16204,-1932
1,188189,0,22.200,4.500,1476,16076,-1928
1,190189,0,22.200,4.500,1352,16172,-2036
1,193189,0,22.200,4.500,1572,16236,-1860
1,195189,0,22.200,4.500,1452,16216,-1800
1,198189,0,22.200,4.500,1592,16252,-1812
1,200189,0,22.200,4.500,1648,16148,-2012
1,203189,0,22.200,4.500,1592,16204,-1980
1,205189,0,22.200,4.500,1548,16180,-1840
1,208189,0,22.200,4.500,1524,16188,-1896
1,210189,0,22.200,4.500,1452,16164,-1920
1,213189,0,22.200,4.500,1644,16240,-1832
1,215190,0,22.200,4.500,1408,16088,-1848
1,218189,0,22.200,4.500,1516,16204,-1856
1,220189,0,22.200,4.500,1508,16240,-1872
1,223190,0,22.200,4.500,1552,16312,-2036
1,225189,0,22.200,4.500,1516,16204,-1776
1,228189,0,22.200,4.500,1508,16224,-2052
1,230189,0,22.200,4.500,1512,16092,-2100
1,233190,0,22.200,4.500,1488,16316,-2132
1,235189,0,22.200,4.500,1492,16104,-2036
1,238189,0,22.200,4.500,1544,16184,-1920
1,240189,0,22.200,4.500,1496,16164,-1788
1,243189,0,22.200,4.500,1540,16152,-1796
1,245189,0,22.200,4.500,1448,16224,-1708
1,248189,0,22.200,4.500,1528,16216,-1848
1,250189,0,22.200,4.500,1520,16280,-1800
1,253189,0,22.200,4.500,1584,16260,-1844
1,255189,0,22.200,4.500,1512,16248,-1844
1,258189,0,22.200,4.500,1652,16260,-1996
1,260189,0,22.200,4.500,1476,16184,-1904
1,263189,0,22.200,4.500,1584,16240,-1824
1,265189,0,22.200,4.500,1564,16252,-1956
