trial,t_us,phase,x_cm,y_cm,ax,ay,az
1,2349,0,22.200,14.500,1668,16348,-1892
1,4190,0,22.200,14.500,1612,16316,-2032
1,7190,0,22.200,14.500,1732,16316,-2064
1,9189,0,22.200,14.500,1628,16156,-2108
1,12189,0,22.200,14.500,1672,16280,-2024
1,14190,0,22.200,14.500,1628,16264,-1880
1,17190,0,22.200,14.500,1476,16184,-1940
1,19189,0,22.200,14.500,1516,16208,-1916
1,22189,0,22.200,14.500,1540,16184,-2092
1,24190,0,22.200,14.500,1552,16136,-1988
1,27190,0,22.200,14.500,1584,16244,-1904
1,29189,0,22.200,14.500,1556,16260,-1952
1,32190,0,22.200,14.500,1564,16196,-1964
1,34189,0,22.200,14.500,1572,16268,-1844
1,37189,0,22.200,14.500,1416,16168,-1752
1,39190,0,22.200,14.500,1464,16152,-1836
1,42190,0,22.200,14.500,1508,16152,-1940
1,44190,0,22.200,14.500,1492,16124,-1888
1,47190,0,22.200,14.500,1476,16132,-1796
1,49190,0,22.200,14.500,1432,16084,-1884
1,52190,0,22.200,14.500,1432,16168,-1900
1,54189,0,22.200,14.500,1484,16208,-1972
1,57189,0,22.200,14.500,1540,16224,-1860
1,59190,0,22.200,14.500,1540,16164,-1948
1,62190,0,22.200,14.500,1420,16196,-1896
1,64189,0,22.200,14.500,1520,16132,-1808
1,67189,0,22.200,14.500,1500,16108,-1904
1,69189,0,22.200,14.500,1648,16124,-1988
1,72190,0,22.200,14.500,1580,16248,-1932
1,74189,0,22.200,14.500,1564,16328,-1944
1,77189,0,22.200,14.500,1520,16324,-2076
1,79189,0,22.200,14.500,1604,16340,-1788
1,82190,0,22.200,14.500,1584,16328,-1904
1,84190,0,22.200,14.500,1672,16288,-1920
1,87189,0,22.200,14.500,1612,16292,-2048
1,89189,0,22.200,14.500,1676,16244,-1908
1,92189,0,22.200,14.500,1680,16296,-1984
1,94189,0,22.200,14.500,1712,16140,-2008
1,97190,0,22.200,14.500,1752,16128,-2040
1,99189,0,22.200,14.500,1580,16176,-1908
1,102190,0,22.200,14.500,1568,16168,-2024
1,104189,0,22.200,14.500,1560,16172,-1908
1,107190,0,22.200,14.500,1552,16184,-1996
1,109189,0,22.200,14.500,1468,16248,-1972
1,112189,0,22.200,14.500,1452,16208,-1884
1,114189,0,22.200,14.500,1528,16196,-2064
1,117189,0,22.200,14.500,1424,16196,-1968
1,119190,0,22.200,14.500,1496,16120,-1804
1,122189,0,22.200,14.500,1544,16128,-2020
