trial,t_us,phase,x_cm,y_cm,ax,ay,az
1,2346,0,7.200,9.500,1648,16304,-2024
1,4190,0,7.200,9.500,1756,16244,-2004
1,7190,0,7.200,9.500,1800,16204,-2028
1,9190,0,7.200,9.500,1648,16316,-2000
1,12190,0,7.200,9.500,1712,16300,-2136
1,14190,0,7.200,9.500,1724,16244,-2232
1,17190,0,7.200,9.500,1564,16176,-2032
1,19190,0,7.200,9.500,1636,16116,-2012
1,22190,0,7.200,9.500,1712,16096,-2048
1,24190,0,7.200,9.500,1552,16172,-2016
1,27190,0,7.200,9.500,1544,16216,-2184
1,29190,0,7.200,9.500,1688,16220,-2096
1,32190,0,7.200,9.500,1604,16172,-1976
1,34190,0,7.200,9.500,1540,16168,-1940
1,37190,0,7.200,9.500,1720,16180,-2080
1,39190,0,7.200,9.500,1592,16132,-2004
1,42190,0,7.200,9.500,1668,16276,-1996
1,44190,0,7.200,9.500,1632,16256,-1972
1,47190,0,7.200,9.500,1672,16304,-2020
1,49190,0,7.200,9.500,1564,16244,-2172
1,52190,0,7.200,9.500,1612,16264,-2144
1,54190,0,7.200,9.500,1788,16256,-2068
1,57190,0,7.200,9.500,1760,16312,-2008
1,59190,0,7.200,9.500,1676,16192,-2068
1,62190,0,7.200,9.500,1736,16060,-1900
1,64190,0,7.200,9.500,1800,16220,-2084
1,67190,0,7.200,9.500,1820,16100,-2076
1,69190,0,7.200,9.500,1732,16188,-1892
1,72190,0,7.200,9.500,1816,16080,-2144
1,74190,0,7.200,9.500,1624,16232,-1860
1,77190,0,7.200,9.500,1724,16240,-2096
1,79190,0,7.200,9.500,1748,16312,-1952
1,82190,0,7.200,9.500,1796,16276,-2000
1,84190,0,7.200,9.500,1696,16248,-2104
1,87190,0,7.200,9.500,1624,16228,-2060
1,89190,0,7.200,9.500,1688,16264,-2116
1,92190,0,7.200,9.500,1656,16200,-2196
1,94190,0,7.200,9.500,1576,16184,-1964
1,97190,0,7.200,9.500,1668,16068,-2120
1,99190,0,7.200,9.500,1680,16120,-2032
1,102190,0,7.200,9.500,1620,16168,-2164
1,104190,0,7.200,9.500,1672,16200,-2196
1,107190,0,7.200,9.500,1628,16228,-2012
1,109190,0,7.200,9.500,1492,16020,-2156
1,112190,0,7.200,9.500,1704,16164,-2068
1,114190,0,7.200,9.500,1588,16252,-2060
1,117190,0,7.200,9.500,1536,16096,-1960
1,119190,0,7.200,9.500,1600,16192,-2084
1,122190,0,7.200,9.500,1752,16072,-2024
1,124190,0,7.200,9.500,1704,16216,-1980
1,127190,0,7.200,9.500,1664,16172,-1856
1,129190,0,7.200,9.500,1736,16152,-2060
1,132190,0,7.200,9.500,1608,16220,-1936
1,134190,0,7.200,9.500,1644,16112,-2124
1,137190,0,7.200,9.500,1788,16224,-2080
1,139190,0,7.200,9.500,1776,16224,-1936
1,142190,0,7.200,9.500,1704,16172,-2144
1,144190,0,7.200,9.500,1748,16248,-2016
1,147190,0,7.200,9.500,1712,16260,-2036
1,149190,0,7.200,9.500,1696,16220,-2028
1,152190,0,7.200,9.500,1744,16256,-2020
1,154190,0,7.200,9.500,1724,16216,-2176
1,157190,0,7.200,9.500,1608,16132,-2148
1,159190,0,7.200,9.500,1764,16196,-2136
1,162190,0,7.200,9.500,1832,16160,-2104
