t_us,phase,ax,ay,az
530956,0,2080,16228,-1248
533456,0,2040,16092,-1232
535956,0,2052,16156,-1316
538456,0,2036,16172,-1336
540956,0,1944,16176,-1256
543456,0,2008,16156,-1336
545956,0,2120,16124,-1240
548456,0,1956,16192,-1400
550955,0,2012,16136,-1316
553455,0,2028,16160,-1444
555955,0,2076,16132,-1280
558456,0,2044,16160,-1272
560956,0,2048,16148,-1360
563456,0,2004,16148,-1332
565955,0,1964,16096,-1260
568456,0,1992,16204,-1412
570956,0,1980,16168,-1300
573456,0,2048,16184,-1332
575956,0,2056,16224,-1432
578456,0,1984,16228,-1404
580956,0,1960,16236,-1292
583456,0,2080,16176,-1372
585956,0,1956,16180,-1260
588456,0,2060,16144,-1392
590956,0,2004,16208,-1348
593456,0,1964,16092,-1376
595956,0,2048,16112,-1368
598456,0,1992,16164,-1220
600957,1,1952,16180,-1112
603457,1,2100,16192,-1308
605956,1,1992,16228,-1296
608456,1,2020,16064,-1340
610957,1,1920,16128,-1308
613457,1,1996,16056,-1380
615956,1,2400,17188,-1812
618457,1,520,14900,-836
620956,1,4280,17956,-2372
623457,1,444,16560,-1816
625956,1,3152,15820,-960
628456,1,5468,17888,-2104
630956,1,428,15644,-2164
633456,1,3708,17868,-3152
635956,1,1204,15680,-2760
638457,1,3356,16752,-3272
640957,1,568,15620,-3144
643457,1,3628,15124,-2532
645956,1,3852,17100,-3472
648457,1,-1108,15792,-5060
650958,1,2752,14840,-2764
653456,1,-1104,16544,-4928
655956,1,-2536,15328,-5516
658456,1,5568,16928,-2988
660957,1,232,15220,-4204
663458,1,3628,17340,-3580
665957,1,4084,15296,-1896
668456,1,1732,17276,-3984
670957,1,316,17140,-3840
673457,1,6032,16228,-1940
675956,1,3500,17524,-2996
678465,1,-2112,15764,-4172
680957,1,5608,16932,-2556
683457,1,492,15828,-3420
685958,1,3124,16196,-3744
688456,1,1952,15688,-3736
690957,1,2636,14724,-3572
693457,1,1932,16256,-4048
695956,1,3592,15608,-3196
698458,1,2920,15684,-2900
700957,1,2448,16680,-3104
703458,1,3516,16068,-1324
705956,1,2372,16912,-1396
708457,1,2080,16872,-1172
710956,1,84,17096,-2596
713457,1,5552,17368,-1132
715956,1,3180,15480,532
718457,1,5268,18984,-1880
720958,1,1148,14748,-2008
723457,1,8104,18444,-2636
725957,1,2140,15248,-2812
728457,1,7508,16800,-3260
730958,1,3344,14424,-2516
733457,1,5544,16300,-4192
735956,1,3528,13892,-2024
738456,1,3776,17568,-5716
740960,1,5012,14764,-844
743458,1,1828,17664,-4764
745958,1,7376,14992,-20
748456,1,4792,17508,-2328
750957,1,4736,15440,80
753457,1,5580,17780,-3496
755958,1,7440,13732,1304
758457,1,3212,15984,-3168
760963,1,5288,16196,-2640
763461,1,3280,15864,-2928
765957,1,2068,14532,-2140
768456,1,1732,16852,-4684
770956,1,3240,14724,-2636
773458,1,3176,15092,-3140
775957,1,5248,15364,-2744
778458,1,5468,14676,-1936
780957,1,6820,15516,-1824
