z,y,Ep_u,Ep_s,peak_red,Er_u,Er_s,rms_red,ts_u,ts_s,thresh,fn_dep,fn_id,freq_ratio
z_min,4.5,0.5010843927088776,0.2566242106810073,48.78622954235534,0.08094350959966386,0.04983283653877439,38.435043420724945,2.1975,2.19,0.02505421963544388,11.6,15.34,1.3224137931034483
z_min,9.5,0.26435570482090287,0.416377350605202,-57.50647442516572,0.07316793420059761,0.07946508562890936,-8.606435998380713,2.1975,2.0575,0.013217785241045145,11.3,15.34,1.357522123893805
z_min,14.5,0.7338636215914853,0.34100289306034787,53.53320657578915,0.11340543615440886,0.064774794047215,42.88210843877015,1.87,2.1925,0.03669318107957427,11.1,15.34,1.381981981981982
z_mid,4.5,0.8123756863453339,0.3571366525641328,56.03799343493435,0.15438350025379688,0.05962821170040548,61.376564462924854,2.2,2.1975,0.0406187843172667,11.6,15.34,1.3224137931034483
z_mid,9.5,0.7691719103622487,0.7370018304315415,4.182430416050476,0.15206213173879699,0.13262149292764863,12.784668075377436,2.1925,1.3,0.03845859551811244,11.3,15.34,1.357522123893805
z_max,9.5,0.8708782934747886,0.19435590788168752,77.68277044703791,0.1349203706533338,0.039715759220765014,70.56355609723958,1.9725,2.1975,0.043543914673739435,11.3,15.6,1.3805309734513274
z_max,14.5,2.9391394155122064,0.6139074506564434,79.11268014656402,0.23686297943873913,0.10109641967530122,57.31860676799086,0.9475,2.4975,0.14695697077561032,11.1,14.9,1.3423423423423424
